accession_id	contact_city	contact_country	contact_institute	available_date	last_update_date	overall_design	summary	platform_id	publishing_platform	title	experiment_type
GSE29431	Barcelona	Spain	Center for International Health Research at Barcelona (CRESIB)	Public on Dec 22 2011	Mar 25 2019	The tumor samples under study correspond to 54 primary breast carcinomas. They included 15 cases with a HER2 IHC3+ score with HER2 gene amplification, 13 cases with IHC2+ score with amplification and 13 without HER2 gene amplification, and 13 cases IHC0/1+ score without HER2 gene amplification. 12 samples of breast normal tissues from breast cancer patients were also included as a reference. Neither overexpression nor amplification of HER2 was observed.	Background: Breast cancer is a heterogeneous neoplasm. Distinct subtypes of breast cancer have been defined, suggesting the existence of molecular differences contributing to their clinical outcomes. However, the molecular differences between HER2 positive and negative breast cancer tumors remain unclear. Objective: The aim of this study was to identify a gene expression profile for breast tumors based on HER2 status. Material and methods: The HER2 status was determined by immunohistochemistry (IHC) and fluorescence in situ hybridization (FISH) in 54 breast tumor samples. Using Affymetrix microarray data from these breast tumors, we established the expression profiling of breast cancer based on HER2 IHC and FISH results. To validate microarray experiment data, real-time quantitative reverse transcription-PCR was performed. Results: We found significant differences between the HER2-positive and HER2-negative breast tumor samples, which included overexpression of HER2, as well as other genes located on 17q12, and genes functionally related to migration. Conclusion: Our study shows the potential of integrated genomics profiling to shed light on the molecular knowledge of HER2-positive breast tumors.	GPL570	GEO	Identifying breast cancer biomarkers	Expression profiling by array
GSE2990	Toronto	Canada	Princess Margaret Cancer Centre	Public on Feb 16 2006	Aug 10 2018	64 microarray experiments from primary breast tumors used as training set to identify genes differentially expressed in grade 1 and 3. +  + 129 microarray experiments from primary breast tumors of untreated patients used as validation set to validate the list of genes and its correlation with survival. +  + No replicate, no reference sample. +  + Supplementary file GSE2990_suppl_info.txt added Dec 20, 2006.	Background: Histologic grade in breast cancer provides clinically important prognostic information. However, 30%-60% of tumors are classified as histologic grade 2. This grade is associated with an intermediate risk of recurrence and is thus not informative for clinical decision making. We examined whether histologic grade was associated with gene expression profi les of breast cancers and whether such profi les could be used to improve histologic grading. +  + Methods: We analyzed microarray data from 189 invasive breast carcinomas and from three published gene expression datasets from breast  carcinomas. We identified differentially expressed genes in a training set of 64 estrogen receptor (ER)-positive tumor samples by comparing expression profiles between histologic grade 3 tumors and histologic grade 1 tumors and used the expression of these genes to define the gene expression grade index. Data from 597 independent tumors were used to evaluate the association between relapse-free survival and the gene expression grade index in a Kaplan-Meier analysis. All statistical tests were two-sided. +  + Results: We identified 97 genes in our training set that were associated with histologic grade; most of these genes were involved in cell cycle regulation and proliferation. In validation datasets, the gene expression grade index was strongly associated with histologic grade 1 and 3 status; however, among histologic grade 2 tumors, the index spanned the values for histologic grade 1-3 tumors. Among patients with histologic grade 2 tumors, a high gene expression grade index was associated with a higher risk of recurrence than a low gene expression grade index (hazard ratio 3.61, 95% confidence interval 2.25 to 5.78; P<.001, log-rank test). +  + Conclusions: Gene expression grade index appeared to reclassify patients with histologic grade 2 tumors into two groups with high versus low risks of recurrence. This approach may improve the accuracy of tumor grading and thus its prognostic value.  +  + NB: The patients coming from Uppsala Hospital have been also used in other studies as in GSE3494. You can find the common set of patients in removing the abbreviation \""UPP_\"" from the sample names and compare the results with the \""INDEX (ID)\"" from the GSE3494 series. + Keywords: disease state analysis	GPL96	GEO	Gene Expression Profiling in Breast Cancer: Understanding the Molecular Basis of Histologic Grade To Improve Prognosis	Expression profiling by array
GSE31138	London	United Kingdom	Barts Cancer Institute	Public on Aug 03 2012	Mar 25 2019	Normal breast sections and IDC breast sections were immunostained for endothelial-specific CD31. Vessels were dissected and captured with laser capture microscopy, and RNA was extracted and analysed on an Affymetrx array chip.  In total, gene expression in blood vessels from 3 normal breast and 3 IDC breast was analysed.	We analysed gene expression in normal breast blood vessels and breast invasive ductal carinoma blood vessels.	GPL570	GEO	Identifying novel anti-angiogenic targets in human breast cancer	Expression profiling by array
GSE31192	Cleveland	USA	Cleveland Clinic	Public on Jun 26 2013	Mar 25 2019	Breast cancers have been obtained from women whose tumors arose while they were pregnant or within 1 year of delivery and from age-matched controls who had never been pregnant. Malignant epithelial cells were separated by laser capture microdissection (LCM) of frozen sections. RNA was isolated and analyzed by expression profiling using Affymetrix U133 2plus Human Gene Chips	Malignant epithelia and tumor-associated stroma of PABC and Non-PABC were isolated by laser capture microdissection and gene expression profiled. Additionally, normal breast epithelia and stroma adjacent to the two tumor types were profiled. + Lastly, subsets of previously identified E- and P-regulated genes were defined in all tissues.	GPL570	GEO	Molecular Signature of Pregnancy Associated Breast Cancer (PABC)	Expression profiling by array
GSE31448	Marseille	France	Institut Paoli-Calmettes	Public on Dec 02 2011	Mar 25 2019	To determine ECRG4 mRNA expression in breast cancer and normal breast, we first analyzed gene expression data generated by our laboratory (Institut Paoli Calmettes (IPC), Marseille, France) from cancer and normal mammary samples. Tumor tissues were from 353 patients with invasive adenocarcinoma who underwent initial surgery at IPC between 1987 and 2007. The study was approved by our institutional review board. Each patient gave a written informed consent for research use. Samples were macrodissected and frozen in liquid nitrogen within 30 min of surgical removal. All profiled specimens contained more than 60% of cancer cells (as assessed before RNA extraction using frozen sections adjacent to the profiled samples). After surgery, patients received an adjuvant multimodal treatment according to standard guidelines. Extraction of nucleic acids from frozen samples was done by using guanidium isothiocynanate and cesium chloride gradient. Expression profiles had been established for these 353 cancers pools with Affymetrix U133 Plus 2.0 human microarrays (Affymetrix®, Santa Clara, CA, USA).	ECRG4 is a promising tumor suppressor gene (TSG) recently identified in esophageal carcinoma. Its expression and prognostic value have never been explored in breast cancer. Using DNA microarray,  we examined ECRG4 mRNA expression in 353 invasive breast cancer samples. A meta-analysis was performed on a large public retrospective gene expression dataset (n=1,387) to analyze correlation between ECRG4 expression and histo-clinical features including survival.	GPL570	GEO	Down-regulation of ECRG4, a candidate tumor suppressor gene  in human breast cancer	Expression profiling by array
GSE31519	Frankfurt	Germany	J.W.Goethe-University	Public on Sep 13 2011	Jul 25 2022	Analysis of primary breast cancer biopsies from patients before treatment. No replicates. No control or reference samples are included. +  + The set of 579 TNBCs includes: (1) 67 new GEO Samples (GSM782523-GSM782589), (2) 489 re-analyzed GEO Samples (see ''Relation'' links below), and (3) 23 re-analyzed ArrayExpress Samples. +  + Cohorts: + HH University of Hamburg + FRA University of Frankfurt, adjuvant chemotherapy + FRA-2 University of Frankfurt, neoadjuvant chemotherapy + FRA-3 University of Frankfurt, no adjuvant chemotherapy +  + Data processing of the 579 TNBC Samples: +  + MAS5 values were taken from GEO if available. For samples with no MAS5 values, CEL files were downloaded from GEO and the affy package from Bioconductor was used to generate MAS5 values. Next, MAS5 values corresponding only to the 22283 probesets from the U133A array were compiled. Subsequently, normalization of MAS5 data was performed using the command line version of the program CLUSTER 3.0 (Michael Eisen; updated by Michiel de Hoon; http://bonsai.hgc.jp/~mdehoon/software/cluster/command.txt). +  + The following three steps were performed in the following order: + 1. log2 transformation of MAS5 values + 2. median centering of arrays + 3. magnitude normalization of arrays +  + These three steps correspond to the following commands: + cluster.com filename -l + cluster.com filename -ca m + cluster.com filename -na +  + The resulting dataset, which is linked below as a supplementary file, was used for the subsequent analyses.	Current prognostic gene expression profiles for breast cancer mainly reflect proliferation status and are most useful in ER-positive cancers. Triple-negative breast cancers (TNBCs) are clinically heterogeneous, and prognostic markers and biology-based therapies are needed to better treat this disease. +  + We assembled Affymetrix gene expression data for 579 TNBCs and performed unsupervised analysis to define metagenes that distinguish molecular subsets within TNBC. We used n=394 cases for discovery and n=185 cases for validation. Sixteen metagenes emerged that identified basal-like, apocrine and claudin-low molecular subtypes, or reflected various non-neoplastic cell populations including immune cells, blood, adipocytes, stroma, angiogenesis, and inflammation within the cancer. The expressions of these metagenes were correlated with survival and multivariate analysis was performed including routine clinical and pathological variables. +  + 73% of TNBCs displayed basal-like molecular subtype that correlated with high histological grade and younger age. Survival of basal-like TNBC was not different from non-basal-like TNBC. High expression of immune cell metagenes was associated with good and high expression of inflammation and angiogenesis-related metagenes were associated with poor prognosis. A ratio of high B-cell and low IL-8 metagenes identified 32% of TNBC with good prognosis (HR 0.37, 95% CI 0.22-0.61; P<0.001) and was the only significant predictor in multivariate analysis including routine clincopathological variables. +  + We describe a ratio of high B-cell presence and low IL-8 activity as a powerful new prognostic marker for TNBC. Inhibition of the IL-8 pathway also represents an attractive novel therapeutic target for this disease.	GPL96	GEO	A Clinically Relevant Gene Signature in Triple-Negative and Basal-Like Breast Cancer	Expression profiling by array + Third-party reanalysis
GSE32518	Houston	USA	UT MD Anderson	Public on Oct 31 2011	Aug 10 2018	Pre-treatment paird matched FNA and CBX from primary tumors were obtained and RNA extracted and hybridized to afymetrix microarrays according to manufacturer protocol.	Paired FNA and CBX specimens were prospectively collected from 37 breast cancers before any systemic therapy during a biomarker discovery study at The University of Texas M. D. Anderson Cancer Center. + We identified 293 probe sets overexpressed in core biopsies; these included five highly  coexpressed gene clusters (metagenes) corresponding to immune functions and extracellular  matrix components. + We compared gene expression profiles of pairs of fine-needle (stroma-poor) and core-needle (stroma-rich) biopsies from 37 cancers to identify stroma-associated genes	GPL96	GEO	Expression data from paired matched breast cancer Fine needle aspiration (FNA) or Core needle biopsies (CBX)	Expression profiling by array
GSE32646	Suita	Japan	Osaka University, Graduate School of Medicine	Public on Mar 20 2012	Jun 06 2022	Fresh frozen tumor samples obtained by vacuum-assisted core biopsy from one hundred and fifteen patients were subjected to RNA extraction and hybridization on Affymetrix microarrays.	The purpose of the present study was to investigate the association of glutathione S-transferase P1 (GSTP1) expression with resistance to neoadjuvant paclitaxel followed by 5-fluorouracil/epirubicin/cyclophosphamide (P-FEC) in human breast cancers. The relationship of GSTP1 expression and GSTP1 promoter hypermethylation with intrinsic subtypes was also investigated. In this study, primary breast cancer patients (n 123, stage II-III) treated with neoadjuvant P-FEC were analyzed. Tumor samples were obtained by vacuum-assisted core biopsy before P-FEC. GSTP1 expression was determined using immunohistochemistry, GSTP1 promoter methylation index (MI) using bisulfite methylation assay and intrinsic subtypes using DNA microarray. The pathological complete response (pCR) rate was significantly higher in GSTP1-negative tumors (80.0%) than GSTP1-positive tumors (30.6%) (P 0.009) among estrogen receptor (ER)-negative tumors but not among ER-positive tumors (P 0.267). Multivariate analysis showed that GSTP1 was the only predictive factor for pCR (P 0.013) among ER-negative tumors. Luminal A, luminal B and HER2-enriched tumors showed a significantly lower GSTP1 positivity than basal-like tumors (P 0.002, P < 0.001 and P 0.009, respectively), while luminal A, luminal B and HER2-enriched tumors showed a higher GSTP1 MI than basal-like tumors (P 0.076, P < 0.001 and P < 0.001, respectively). In conclusion, these results suggest the possibility that GSTP1 expression can predict pathological response to P-FEC in ER-negative tumors but not in ER-positive tumors. Additionally, GSTP1 promoter hypermethylation might be implicated more importantly in the pathogenesis of luminal A, luminal B and HER2-enriched tumors than basal-like tumors.	GPL570	GEO	GSTP1 expression predicts poor pathological complete response to neoadjuvant chemotherapy in ER-negative breast cancer	Expression profiling by array
GSE33692	PHILADELPHIA	USA	Thomas Jefferson University	Public on Apr 01 2012	Feb 18 2019	Tumor and matching stroma were profiled for 9 DCIS patients, 10 IBC patients, and 3 normal breast.  Differential gene expression was evaluated for paired normal stroma versus normal epitelium samples, paired DCIS stroma versus DCIS epitelium samples, paired IBC stroma versus IBC epitelium, IBC stroma versus DCIS stroma, and IBC epithelium versus DCIS epithelium.	Ductal carcinoma in situ (DCIS) is a precursor lesion that can give rise to invasive breast cancer (IBC).    It has been proposed that both the nature of the lesion and the tumor microenvironment play key roles in progression to IBC.  Here, laser capture microdissected tissue samples from epithelium and stroma in normal breast, pure DCIS, and pure IBC were employed to define key gene expression profiles associated with disease progression.	GPL5175	GEO	Progression of ductal carcinoma in situ to invasive breast cancer	Expression profiling by array
GSE3494	Singapore	Singapore	Genome Institute of Singapore	Public on Oct 21 2005	Aug 26 2019	All tumor specimens were assessed on U133 A and B arrays.	The biological tumor samples (ie, breast tumor specimens) consisted of freshly frozen breast tumors from a population-based cohort of 315 women representing 65% of all breast cancers resected in Uppsala County, Sweden, from January 1, 1987 to December 31, 1989.  Estrogen receptor status was determined by biochemical assay as part of the routine clinical procedure. An experienced pathologist determined the Elston-Ellis grades of the tumors, classifying the tumors into low, medium and high-grade tumors.  The clinico-pathological characteristics accompanying each tumor include p53 status, ER status, tumor grade, lymph node status and patient age. + Keywords: Tumor sample comparisons	GPL96 + GPL97	GEO	An expression signature for p53 in breast cancer predicts mutation status, transcriptional effects, and patient survival	Expression profiling by array
GSE41194	St Louis	USA	Washington University at St. Louis	Public on Sep 29 2012	Dec 13 2018	RNA from human samples were extracted, purified, amplified, and evaluated for gene expression using Affymetrix U95Av2 gene expression arrays.	We used gene expression profiling of human DCIS and IBC to discover uniquely expressed genes that may also regulate progression.	GPL8300	GEO	Differentially Expressed Genes Regulating the Progression of Ductal Carcinoma In Situ to Invasive Breast Cancer (Group 1)	Expression profiling by array
GSE41196	St Louis	USA	Washington University at St. Louis	Public on Sep 29 2012	Dec 13 2018	RNA from human samples were extracted, purified, amplified, and evaluated for gene expression using Affymetrix U95Av2 gene expression arrays.	We used gene expression profiling of human DCIS and IBC to discover uniquely expressed genes that may also regulate progression.	GPL8300	GEO	Differentially Expressed Genes Regulating the Progression of Ductal Carcinoma In Situ to Invasive Breast Cancer (Group 2)	Expression profiling by array
GSE41197	St Louis	USA	Washington University at St. Louis	Public on Sep 29 2012	Dec 13 2018	RNA from human samples were extracted, purified, amplified, and evaluated for gene expression using Affymetrix U95Av2 gene expression arrays.	We used gene expression profiling of human DCIS and IBC to discover uniquely expressed genes that may also regulate progression.	GPL8300	GEO	Differentially Expressed Genes Regulating the Progression of Ductal Carcinoma In Situ to Invasive Breast Cancer (Group 3)	Expression profiling by array
GSE42568	Dublin	Ireland	Dublin City University	Public on May 26 2013	Mar 25 2019	Gene expression profiling of 104 breast cancer and 17 normal breast biopsies.	Analysis of 104 breast cancer biopsies (removed prior to any treatment with tamoxifen or chemotherapeutic agents) from patients aged between 31 years and 89 years at the time of diagnosis (mean age 58 years). Twenty were less than 50 years and seventy-seven women were 50 years, or older, at diagnosis. The size of the tumours ranged between 0.6 cm and 8.0 cm (mean 2.79 cm). Eighteen tumours were T1 (<2 cm) in maximal dimension; 83 were T2 (2–5 cm) and 3 tumours were T3 (>5 cm). Eighty-two were invasive ductal carcinoma, 17 were invasive lobular and five were tumours of special type (two tubular and three mucinous). Eleven tumours were grade 1; 40 were grade 2; and 53 were grade 3. Sixty-seven tumours were oestrogen receptor (ER) positive and 34 were ER negative (ER status was determined by Enzyme Immuno-Assay (EIA); a positive result was defined as more than 200 fmol/g protein). ER status was not available for 3 patients. Forty-five tumours had no axillary metastases and 59 tumours had metastasised to axillary lymph nodes. Sixty-nine women were treated with post-operative tamoxifen; 26 did not receive tamoxifen. Fifty patients were treated with adjuvant systemic chemotherapy (CMF +/− adriamycin); 45 patients did not receive chemotherapy. Details regarding tamoxifen and systemic chemotherapy were not available for 9 patients. Maximal follow-up was 3,026 days with a mean follow-up of 1,887 days. + 17 normal breast tissues were also assayed.	GPL570	GEO	Breast Cancer Gene Expression Analysis	Expression profiling by array
GSE43365	Boston	USA	Dana Farber Cancer Institut	Public on Jun 03 2013	Aug 12 2019	Total RNA was extracted from fresh tumor tissues comprising ≥30% invasive tumor cells and hybridized on Affymetrix microarrays if the RIN was  ≥ 7.	Genomic Grade Index (GGI) is a 97-gene signature that improves histologic grade (HG) classification in invasive breast carcinoma. In this prospective study we sought to evaluate the feasibility of performing GGI in routine clinical practice and its impact on treatment recommendations. Patients with pT1pT2 or operable pT3, N0-3 invasive breast carcinoma were recruited from 8 centers in Belgium. Fresh surgical samples were sent at room temperature in the MapQuant Dx™ PathKit for centralized genomic analysis. Genomic profiles were determined using Affymetrix U133 Plus 2.0 and GGI calculated using the MapQuant Dx™ protocol, which defines tumors as low or high Genomic Grade (GG-1 and GG-3 respectively). 180 pts were recruited and 155 were eligible. The MapQuant test was performed in 142 cases and GGI was obtained in 78% of cases (n=111). Reasons for failures were 15 samples with <30% of invasive tumor cells (11%), 15 with insufficient RNA quality (10%), and 1 failed hybridization (<1%). For tumors with an available representative sample (≥ 30% inv. tumor cells) (n=127), the success rate was 87.5 %. GGI reclassified 69% of the 54 HG2 tumors as GG-1 (54%) or GG-3 (46%). Changes in treatment recommendations occurred mainly in the subset of HG2 tumors reclassified into GG-3, with increased use of chemotherapy in this subset.  The use of GGI is feasible in routine clinical practice and impacts treatment decisions in early-stage breast cancer.	GPL570	GEO	Genomic Grade Index (GGI): Feasibility in routine practice and impact on treatment decisions in early breast cancer	Expression profiling by array
GSE45255	Winston-Salem	USA	Atrium Health Wake Forest Baptist	Public on Mar 21 2013	Jun 06 2022	Breast tumor samples derived from the Institut Jules Bordet (IJB; Belgium), John Radcliffe Hospital (JRH; Oxford) and the National University Hospital (NUH, Singapore) were profiled on the Affymetrix U133A platform. The number of tumors profiled (n) and the corresponding dates of tumor diagnosis are as follows. IJB: n=41, 1994-2001; JRH: n=8, 1990-1993; and NUH: n=100, 2000-2002.	To facilitate a better understanding of the molecular heterogeneity of breast cancer and to uncover gene-survival associations that segregate with distinct molecular subtypes, we recently compiled a meta-analytical database of over 2,000 human breast tumor expression profiles variously annotated for clinical and pathological variables and derived from various institutions worldwide. This database was utilized for the breast tumor study cited below: Nagalla, et. al., Genome Biology, 2013. While the majority of the tumor expression profiles included in this database derived from publicly accessible microarray repositories, a number of the samples had not been previously published. Here, we describe the origin of these samples and provide their associated clinical and pathological annotations with the hope that other investigators will be able to utilize these data in their own research.	GPL96	GEO	Expression Profiles of Breast Tumors from Singapore and Europe	Expression profiling by array
GSE4611	Frankfurt	Germany	J.W.Goethe-University	Public on Oct 14 2014	Aug 10 2018	Fresh frozen surgical biopsy samples from consecutive patients were analyzed on Affymetrix HGU133A	Pooling of microarray datasets seems to be a reasonable approach to increase sample size when a heterogeneous disease like breast cancer is concerned. Different methods for the adaption of datasets have been used in the literature. We have analyzed influences of these strategies using a pool of 3,030 Affymetrix U133A microarrays from breast cancer samples. We present data on the resulting concordance with biochemical assays of well known parameters and highlight critical pitfalls. We further propose a method for the inference of cutoff values directly from the data without prior knowledge of the true result. The cutoffs derived by this method displayed high specificity and sensitivity. Markers with a bimodal distribution like ER, PgR, and HER2 discriminate different biological subtypes of disease with distinct clinical courses. In contrast, markers displaying a continuous distribution like proliferation markers as Ki67 rather describe the composition of the mixture of cells in the tumor.	GPL96	GEO	Breast Cancer Gene Expression Data from Frankfurt Series	Expression profiling by array
GSE46184	Frankfurt	Germany	J.W.Goethe-University	Public on Apr 17 2014	Aug 10 2018	Fresh frozen pre-treatment surgical biopsy samples from breast cancer patients were analyzed on Affymetrix HGU133A.	Gene expression profiling of surgical biopsies from 74 breast cancer patients of different subtypes from Hamburg dataset.	GPL96	GEO	Breast Cancer Gene Expression Data from Hamburg Series	Expression profiling by array
GSE47109	NY	USA	Signal Genetics	Public on Jun 23 2013	Mar 25 2019	Expression profiles of 246 invasive breast carcinomas.	Molecular prognostic assays, such as Oncotype DX, are increasingly incorporated into the management of patients with invasive breast carcinoma. BreastPRS is a new molecular assay developed and validated from a meta-analysis of publically available genomic datasets. We applied the assay to matched fresh-frozen (FF) and formalin-fixed paraffin embedded (FFPE) tumor samples to translate the assay to FFPE.  A linear relationship of the BreastPRS prognostic score was observed between tissue preservation formats. BreastPRS recurrence scores were compared with Oncotype DX recurrence scores from 246 patients with invasive breast carcinoma and known Oncotype DX results. Using this series, a 120-gene linear discriminant algorithm (LDA) was trained to predict Oncotype DX risk groups and then applied to series of untreated, node-negative, estrogen receptor (ER) – positive patients from previously published studies with known clinical outcomes. Correlation of recurrence score and risk group between Oncotype DX and BreastPRS was statistically significant (P<0.0001).  59 of 260 (23%) patients from four previously published studies were classified as intermediate-risk when the 120-gene LDA was applied. BreastPRS reclassified the 59 patients into binary risk groups (high vs. low-risk). 23 (39%) patients were classified as low-risk 36 (61%) as high-risk [P=0.029, HR: 3.64, 95% CI: 1.40 to 9.50]. At 10 years from diagnosis, the low-risk group had a 90% recurrence-free survival (RFS) rate, compared to 60% for the high-risk group. BreastPRS recurrence score is comparable to Oncotype DX and can reclassify Oncotype DX intermediate-risk patients into two groups with significant differences in RFS. Further studies are needed to validate these findings.	GPL570	GEO	BreastPRS is a Gene Expression Assay that Stratifies Intermediate-Risk Oncotype DX Patients into High or Low-Risk for Disease Recurrence	Expression profiling by array
GSE48390	New Taipei City	Taiwan	Cathay General Hospital SiJhih	Public on Jan 07 2014	Sep 01 2021	We performed 23 array CGHs and 81 gene expression microarrays in breast cancer samples from Taiwanese women. Genes with coherent patterns of both CNV and differential gene expression were identified from the 21 samples assayed using both platforms. We used these genes to derive signatures associated with clinical ER and HER2 status and disease-free survival.	The interplay between copy number variation (CNV) and differential gene expression may be able to shed light on molecular process underlying breast cancer and lead to the discovery of cancer-related genes. In the current study, genes concurrently identified in array comparative genomic hybridization (CGH) and gene expression microarrays were used to derive gene signatures for Han Chinese breast cancers.   We performed 23 array CGHs and 81 gene expression microarrays in breast cancer samples from Taiwanese women. Genes with coherent patterns of both CNV and differential gene expression were identified from the 21 samples assayed using both platforms. We used these genes to derive signatures associated with clinical ER and HER2 status and disease-free survival.   Distributions of signature genes were strongly associated with chromosomal location: chromosome 16 for ER and 17 for HER2. A breast cancer risk predictive model was built based on the first supervised principal component from 16 genes (RCAN3, MCOLN2, DENND2D, RWDD3, ZMYM6, CAPZA1, GPR18, WARS2, TRIM45, SCRN1, CSNK1E, HBXIP, CSDE1, MRPL20, IKZF1, and COL20A1), and distinct survival patterns were observed between the high- and low-risk groups from the combined dataset of 408 microarrays. The risk score was significantly higher in breast cancer patients with recurrence, metastasis, or mortality than in relapse-free individuals (0.241 versus 0, P<0.001). The concurrent gene risk predictive model remained discriminative across distinct clinical ER and HER2 statuses in subgroup analysis.  We conclude that parallel analysis of CGH and microarray data, in conjunction with known gene expression patterns, can be used to identify biomarkers with prognostic values in breast cancer.	GPL570	GEO	Concurrent Gene Signatures for Han Chinese Breast Cancers [Affymetrix]	Expression profiling by array
GSE4922	Singapore	Singapore	Genome Institute of Singapore	Public on May 31 2006	Aug 10 2018	All tumor specimens were assessed on U133 A and B arrays.	Histological grading of breast cancer defines morphological subtypes informative of metastatic potential, although not without considerable inter-observer disagreement and clinical heterogeneity particularly among the moderately differentiated grade II (G2) tumors. We posited that a gene expression signature capable of discerning tumors of grade I (G1) and grade III (G3) histology might provide a more objective measure of grade with prognostic benefit for patients with moderately differentiated disease. To this end, we studied the expression profiles of 347 primary invasive breast tumors analyzed on Affymetrix microarrays. Using class prediction algorithms, we identified 264 robust grade-associated markers, six of which could accurately classify G1 and G3 tumors, and separate G2 tumors into two highly discriminant classes (termed G2a and G2b genetic grades) with patient survival outcomes highly similar to those with G1 and G3 histology, respectively. Statistical analysis of conventional clinical variables further distinguished G2a and G2b subtypes from each other, but also from histologic G1 and G3 tumors. In multivariate analyses, genetic grade was consistently found to be an independent prognostic indicator of disease recurrence comparable to that of lymph node status and tumor size. When incorporated into the Nottingham Prognostic Index, genetic grade enhanced detection of patients with less harmful tumors, likely to benefit little from adjuvant therapy. Our findings show that a genetic grade signature can improve prognosis and therapeutic planning for breast cancer patients, and support the view that low and high grade disease, as defined genetically, reflect independent pathobiological entities rather than a continuum of cancer progression. Three separate breast cancer cohorts were analyzed: 1) Uppsala (n=249), 2) Stockholm (n=58), 3) Singapore (n=40). The Uppsala and Singapore data can be accessed here. The Stockholm cohort data can be accessed at GEO Series GSE1456. + Keywords: Tumor sample comparisons	GPL96 + GPL97	GEO	Genetic Reclassification of Histologic Grade Delineates New Clinical Subtypes of Breast Cancer	Expression profiling by array
GSE50948	Penzberg	Germany	Roche	Public on Jan 21 2014	Jun 06 2022	Gene expression profiling was performed using RNA from formalin-fixed paraffin-embedded core biopsies from 114 pre-treated patients with HER2-positive (HER2+) tumors randomized to receive neoadjuvant doxorubicin/paclitaxel (AT) followed by cyclophosphamide/methotrexate/fluorouracil (CMF), or the same regimen in combination with trastuzumab for 1 year. A control cohort of 42 patients with HER2-negative tumors treated with AT-CMF was also included. +  + This dataset represents 156 patients who had provided the samples at baseline (pre-treatment).	These data can be used for evaluation of the clinical utility of the research-based PAM50 subtype predictor in predicting pathological complete response (pCR) and event-free survival (EFS) in women enrolled in the NeOAdjuvant Herceptin (NOAH) trial. + The NeOAdjuvant Herceptin [NOAH] trial demonstrated that trastuzumab significantly improves pCR rates and 3-year event-free survival (EFS) in combination with neoadjuvant chemotherapy compared with neoadjuvant chemotherapy alone in patients with HER2+ breast cancer.	GPL570	GEO	Expression Data from transNOAH breast cancer trial	Expression profiling by array
GSE5327	Chicago	USA	University of Chicago	Public on May 14 2007	Aug 10 2018	58 tumor samples	Validation of lung metastasis signature (LMS) and its association with risk of developing lung metastasis and with primary tumor size. + Keywords: Disease state analysis	GPL96	GEO	Breast cancer relapse free survival and lung metastasis free survival	Expression profiling by array
GSE5460	Boston	USA	Dana Farber Cancer Institute	Public on May 26 2007	Mar 25 2019	Microarray data from the tumors of 129 patients were analyzed for the ability to predict biomarkers (ER, PR, HER2), histologic features (grade and lymphatic-vascular invasion), and stage-related information (tumor size and lymph node metastasis). Multiple statistical predictors were used and the prediction accuracy determined by error rates of prediction and by dimensional scaling and visualization of the states under study. Models to predict lymph node metastasis were built by combinations of molecular, histologic and anatomic features. +  + ***GSM125119.CEL and GSM125120.CEL are corrupt***	Predictors built from gene expression data accurately predict ER, PR, and HER2 status, and divide tumor grade into high-grade and low-grade clusters; intermediate-grade tumors are not a unique group.  In contrast, gene expression data cannot be used to predict tumor size or lymphatic-vascular invasion. + Keywords: disease state analysis	GPL570	GEO	Predicting Features of Breast Cancer with Gene Expression Patterns	Expression profiling by array
GSE5764	Olomouc	Czech Republic	Palacky University	Public on Mar 16 2007	Mar 25 2019	Ten surgical specimens obtained by mastectomy from postmenopausal patients with invasive ductal (IDC) and lobular breast (ILC) carcinomas were investigated. Of these, 5 were IDCs and 5 were ILCs. Tumor and normal tissues from the same mammary gland were identified by an experienced pathologist, snap-frozen in liquid nitrogen and stored at -80ºC for further analysis. Microdissection, RNA isolation, amplification, labeling and microarray analysis are described in sample definitions. Samples from particular cell types (normal ductal, normal lobular, tumor ductal, tumor lobular - 10, 10, 5, 5 samples, respectively) were considered as biological replicates and were compared in between.	The aim of our study was to identify gene expression profiles of ductal and lobular carcinomas in relation to normal ductal and lobular cells. We examined ten mastectomy specimens from postmenopausal breast cancer patients. Ductal and lobular tumor and normal cells were microdissected from cryosections. Fifty nanograms of total RNA were amplified and labeled by PCR and in vitro transcription. GCOS pairwise comparison algorithm and rank products have identified multiple genes that are differentially expressed in comparisons between ductal and lobular tumor and normal cell types. The results suggest that these genes are involved in epithelial-mesenchymal transition, TGFbeta and Wnt signaling. These changes are present in both tumor types but appear to be more prominent in lobular carcinomas. + Keywords: cell type comparison	GPL570	GEO	Analysis of microdissected invasive lobular and ductal breast carcinomas in relation to normal ductal and lobular cells	Expression profiling by array
